Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
18,Betweenness,Fixed_0.2,0.9955,9
18,Random,Uniform,0.1005,14
18,Degree,Uniform,0.4465,36
18,Betweenness,Uniform,0.4105,21
18,Random,Beta_Low,0.9955,19
18,Degree,Beta_Low,0.9955,8
18,Betweenness,Beta_Low,0.9955,8
18,Random,Beta_Mid,0.0115,1
18,Degree,Beta_Mid,0.062,8
18,Betweenness,Beta_Mid,0.074,11
18,Random,Beta_High,0.01,0
18,Degree,Beta_High,0.012,1
18,Betweenness,Beta_High,0.013,1
18,Random,Normal,0.016,2
18,Degree,Normal,0.9955,16
18,Betweenness,Normal,0.9955,17
18,Random,Constant_0.4,0.01,0
18,Degree,Constant_0.4,0.0165,2
18,Betweenness,Constant_0.4,0.021,2
19,Random,Fixed_0.2,0.013,2
19,Degree,Fixed_0.2,0.9955,9
19,Betweenness,Fixed_0.2,0.9955,9
19,Random,Uniform,0.039,12
19,Degree,Uniform,0.5465,25
19,Betweenness,Uniform,0.549,30
19,Random,Beta_Low,0.9955,19
19,Degree,Beta_Low,0.9955,7
19,Betweenness,Beta_Low,0.9955,7
19,Random,Beta_Mid,0.01,0
19,Degree,Beta_Mid,0.0565,8
19,Betweenness,Beta_Mid,0.0555,8
19,Random,Beta_High,0.01,0
19,Degree,Beta_High,0.011,1
19,Betweenness,Beta_High,0.012,1
19,Random,Normal,0.018,4
19,Degree,Normal,0.9955,15
19,Betweenness,Normal,0.9955,16
19,Random,Constant_0.4,0.01,0
19,Degree,Constant_0.4,0.0165,2
19,Betweenness,Constant_0.4,0.021,2
20,Random,Fixed_0.2,0.013,2
20,Degree,Fixed_0.2,0.9955,9
20,Betweenness,Fixed_0.2,0.9955,9
20,Random,Uniform,0.0365,8
20,Degree,Uniform,0.783,50
20,Betweenness,Uniform,0.716,50
20,Random,Beta_Low,0.9955,23
20,Degree,Beta_Low,0.9955,8
20,Betweenness,Beta_Low,0.9955,8
20,Random,Beta_Mid,0.0115,2
20,Degree,Beta_Mid,0.057,7
20,Betweenness,Beta_Mid,0.057,7
20,Random,Beta_High,0.01,0
20,Degree,Beta_High,0.012,1
20,Betweenness,Beta_High,0.0135,1
20,Random,Normal,0.0145,2
20,Degree,Normal,0.9955,13
20,Betweenness,Normal,0.9955,14
20,Random,Constant_0.4,0.011,1
20,Degree,Constant_0.4,0.0165,2
20,Betweenness,Constant_0.4,0.021,2
21,Random,Fixed_0.2,0.0115,1
21,Degree,Fixed_0.2,0.9955,9
21,Betweenness,Fixed_0.2,0.9955,9
21,Random,Uniform,0.2855,34
21,Degree,Uniform,0.7975,37
21,Betweenness,Uniform,0.8,50
21,Random,Beta_Low,0.9955,26
21,Degree,Beta_Low,0.9955,7
21,Betweenness,Beta_Low,0.9955,6
21,Random,Beta_Mid,0.014,3
21,Degree,Beta_Mid,0.0795,6
21,Betweenness,Beta_Mid,0.084,8
21,Random,Beta_High,0.0105,1
21,Degree,Beta_High,0.012,1
21,Betweenness,Beta_High,0.0125,1
21,Random,Normal,0.0125,1
21,Degree,Normal,0.9955,19
21,Betweenness,Normal,0.9955,17
21,Random,Constant_0.4,0.01,0
21,Degree,Constant_0.4,0.0165,2
21,Betweenness,Constant_0.4,0.021,2
22,Random,Fixed_0.2,0.013,2
22,Degree,Fixed_0.2,0.9955,9
22,Betweenness,Fixed_0.2,0.9955,9
22,Random,Uniform,0.0655,11
22,Degree,Uniform,0.4815,38
22,Betweenness,Uniform,0.39,15
22,Random,Beta_Low,0.9945,13
22,Degree,Beta_Low,0.9945,6
22,Betweenness,Beta_Low,0.9945,6
22,Random,Beta_Mid,0.01,0
22,Degree,Beta_Mid,0.072,9
22,Betweenness,Beta_Mid,0.0925,9
22,Random,Beta_High,0.01,0
22,Degree,Beta_High,0.0105,1
22,Betweenness,Beta_High,0.012,1
22,Random,Normal,0.013,2
22,Degree,Normal,0.9955,17
22,Betweenness,Normal,0.9955,26
22,Random,Constant_0.4,0.011,1
22,Degree,Constant_0.4,0.0165,2
22,Betweenness,Constant_0.4,0.021,2
23,Random,Fixed_0.2,0.0135,2
23,Degree,Fixed_0.2,0.9955,9
23,Betweenness,Fixed_0.2,0.9955,9
23,Random,Uniform,0.027,7
23,Degree,Uniform,0.64,25
23,Betweenness,Uniform,0.608,26
23,Random,Beta_Low,0.0145,2
23,Degree,Beta_Low,0.9955,8
23,Betweenness,Beta_Low,0.9955,8
23,Random,Beta_Mid,0.0155,4
23,Degree,Beta_Mid,0.062,8
23,Betweenness,Beta_Mid,0.0715,6
23,Random,Beta_High,0.01,0
23,Degree,Beta_High,0.012,1
23,Betweenness,Beta_High,0.013,1
23,Random,Normal,0.012,2
23,Degree,Normal,0.9955,15
23,Betweenness,Normal,0.9955,15
23,Random,Constant_0.4,0.01,0
23,Degree,Constant_0.4,0.0165,2
23,Betweenness,Constant_0.4,0.021,2
24,Random,Fixed_0.2,0.0125,4
24,Degree,Fixed_0.2,0.9955,9
24,Betweenness,Fixed_0.2,0.9955,9
24,Random,Uniform,0.667,50
24,Degree,Uniform,0.794,31
24,Betweenness,Uniform,0.794,29
24,Random,Beta_Low,0.0145,2
24,Degree,Beta_Low,0.9955,8
24,Betweenness,Beta_Low,0.9955,8
24,Random,Beta_Mid,0.0105,1
24,Degree,Beta_Mid,0.0885,22
24,Betweenness,Beta_Mid,0.1005,15
24,Random,Beta_High,0.01,0
24,Degree,Beta_High,0.013,1
24,Betweenness,Beta_High,0.014,1
24,Random,Normal,0.0125,2
24,Degree,Normal,0.9955,19
24,Betweenness,Normal,0.0985,10
24,Random,Constant_0.4,0.011,1
24,Degree,Constant_0.4,0.0165,2
24,Betweenness,Constant_0.4,0.021,2
25,Random,Fixed_0.2,0.011,1
25,Degree,Fixed_0.2,0.9955,9
25,Betweenness,Fixed_0.2,0.9955,9
25,Random,Uniform,0.035,10
25,Degree,Uniform,0.567,22
25,Betweenness,Uniform,0.5635,24
25,Random,Beta_Low,0.0155,3
25,Degree,Beta_Low,0.9955,7
25,Betweenness,Beta_Low,0.9955,8
25,Random,Beta_Mid,0.0115,1
25,Degree,Beta_Mid,0.066,6
25,Betweenness,Beta_Mid,0.063,6
25,Random,Beta_High,0.01,0
25,Degree,Beta_High,0.012,1
25,Betweenness,Beta_High,0.013,1
25,Random,Normal,0.0145,1
25,Degree,Normal,0.9955,14
25,Betweenness,Normal,0.9955,15
25,Random,Constant_0.4,0.0105,1
25,Degree,Constant_0.4,0.0165,2
25,Betweenness,Constant_0.4,0.021,2
26,Random,Fixed_0.2,0.012,1
26,Degree,Fixed_0.2,0.9955,9
26,Betweenness,Fixed_0.2,0.9955,9
26,Random,Uniform,0.0325,10
26,Degree,Uniform,0.59,34
26,Betweenness,Uniform,0.582,41
26,Random,Beta_Low,0.9955,18
26,Degree,Beta_Low,0.9955,8
26,Betweenness,Beta_Low,0.9955,7
26,Random,Beta_Mid,0.012,1
26,Degree,Beta_Mid,0.061,4
26,Betweenness,Beta_Mid,0.062,5
26,Random,Beta_High,0.01,0
26,Degree,Beta_High,0.0115,1
26,Betweenness,Beta_High,0.0125,1
26,Random,Normal,0.013,3
26,Degree,Normal,0.9955,18
26,Betweenness,Normal,0.9955,18
26,Random,Constant_0.4,0.0115,1
26,Degree,Constant_0.4,0.0165,2
26,Betweenness,Constant_0.4,0.021,2
27,Random,Fixed_0.2,0.014,3
27,Degree,Fixed_0.2,0.9955,9
27,Betweenness,Fixed_0.2,0.9955,9
27,Random,Uniform,0.1525,13
27,Degree,Uniform,0.718,25
27,Betweenness,Uniform,0.718,26
27,Random,Beta_Low,0.021,4
27,Degree,Beta_Low,0.9955,6
27,Betweenness,Beta_Low,0.9955,7
27,Random,Beta_Mid,0.0115,1
27,Degree,Beta_Mid,0.0775,6
27,Betweenness,Beta_Mid,0.0785,8
27,Random,Beta_High,0.0105,1
27,Degree,Beta_High,0.0115,1
27,Betweenness,Beta_High,0.0135,1
27,Random,Normal,0.013,2
27,Degree,Normal,0.9955,14
27,Betweenness,Normal,0.9955,15
27,Random,Constant_0.4,0.0105,1
27,Degree,Constant_0.4,0.0165,2
27,Betweenness,Constant_0.4,0.021,2
28,Random,Fixed_0.2,0.012,1
28,Degree,Fixed_0.2,0.9955,9
28,Betweenness,Fixed_0.2,0.9955,9
28,Random,Uniform,0.049,7
28,Degree,Uniform,0.688,50
28,Betweenness,Uniform,0.3895,17
28,Random,Beta_Low,0.021,4
28,Degree,Beta_Low,0.9955,7
28,Betweenness,Beta_Low,0.9955,7
28,Random,Beta_Mid,0.011,1
28,Degree,Beta_Mid,0.056,5
28,Betweenness,Beta_Mid,0.065,6
28,Random,Beta_High,0.01,0
28,Degree,Beta_High,0.0105,1
28,Betweenness,Beta_High,0.0115,1
28,Random,Normal,0.0155,2
28,Degree,Normal,0.9955,15
28,Betweenness,Normal,0.9955,16
28,Random,Constant_0.4,0.01,0
28,Degree,Constant_0.4,0.0165,2
28,Betweenness,Constant_0.4,0.021,2
29,Random,Fixed_0.2,0.0155,5
29,Degree,Fixed_0.2,0.9955,9
29,Betweenness,Fixed_0.2,0.9955,9
29,Random,Uniform,0.073,17
29,Degree,Uniform,0.6315,33
29,Betweenness,Uniform,0.5755,23
29,Random,Beta_Low,0.9955,18
29,Degree,Beta_Low,0.9955,6
