Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
15,Random,Uniform,0.132,18
15,Degree,Uniform,0.563,19
15,Betweenness,Uniform,0.563,19
15,Random,Beta_Low,1.0,15
15,Degree,Beta_Low,1.0,6
15,Betweenness,Beta_Low,1.0,6
15,Random,Beta_Mid,0.0215,2
15,Degree,Beta_Mid,0.3575,10
15,Betweenness,Beta_Mid,0.3605,13
15,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
15,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
15,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
16,Random,Fixed_0.2,1.0,7
16,Degree,Fixed_0.2,1.0,4
16,Betweenness,Fixed_0.2,1.0,4
16,Random,Uniform,0.022,2
16,Degree,Uniform,0.5125,13
16,Betweenness,Uniform,0.5125,13
16,Random,Beta_Low,1.0,20
16,Degree,Beta_Low,1.0,9
16,Betweenness,Beta_Low,1.0,10
16,Random,Beta_Mid,0.0195,2
16,Degree,Beta_Mid,0.308,11
16,Betweenness,Beta_Mid,0.2955,10
16,Random,"Beta_High, Normal, Constant_0.4",0.013,1
16,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
16,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
17,Random,Fixed_0.2,1.0,8
17,Degree,Fixed_0.2,1.0,4
17,Betweenness,Fixed_0.2,1.0,4
17,Random,Uniform,0.2085,22
17,Degree,Uniform,0.538,13
17,Betweenness,Uniform,0.538,13
17,Random,Beta_Low,1.0,11
17,Degree,Beta_Low,1.0,6
17,Betweenness,Beta_Low,1.0,6
17,Random,Beta_Mid,0.0145,2
17,Degree,Beta_Mid,0.409,11
17,Betweenness,Beta_Mid,0.4,11
17,Random,"Beta_High, Normal, Constant_0.4",0.0175,1
17,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
17,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
18,Random,Fixed_0.2,1.0,14
18,Degree,Fixed_0.2,1.0,4
18,Betweenness,Fixed_0.2,1.0,4
18,Random,Uniform,0.0245,5
18,Degree,Uniform,0.5285,15
18,Betweenness,Uniform,0.5285,18
18,Random,Beta_Low,1.0,16
18,Degree,Beta_Low,1.0,7
18,Betweenness,Beta_Low,1.0,7
18,Random,Beta_Mid,0.0145,2
18,Degree,Beta_Mid,0.3085,10
18,Betweenness,Beta_Mid,0.303,14
18,Random,"Beta_High, Normal, Constant_0.4",0.012,1
18,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
18,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
19,Random,Fixed_0.2,1.0,9
19,Degree,Fixed_0.2,1.0,4
19,Betweenness,Fixed_0.2,1.0,4
19,Random,Uniform,0.067,10
19,Degree,Uniform,0.533,14
19,Betweenness,Uniform,0.545,13
19,Random,Beta_Low,0.999,14
19,Degree,Beta_Low,0.999,6
19,Betweenness,Beta_Low,0.999,6
19,Random,Beta_Mid,0.016,3
19,Degree,Beta_Mid,0.351,10
19,Betweenness,Beta_Mid,0.3495,13
19,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
19,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
19,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
20,Random,Fixed_0.2,1.0,10
20,Degree,Fixed_0.2,1.0,4
20,Betweenness,Fixed_0.2,1.0,4
20,Random,Uniform,0.0305,5
20,Degree,Uniform,0.488,11
20,Betweenness,Uniform,0.488,11
20,Random,Beta_Low,1.0,14
20,Degree,Beta_Low,1.0,6
20,Betweenness,Beta_Low,1.0,6
20,Random,Beta_Mid,0.0195,2
20,Degree,Beta_Mid,0.351,17
20,Betweenness,Beta_Mid,0.324,12
20,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
