Trial,Strategy,Threshold_Dist,Seed_Fraction,Step,Adoption_Fraction,Final_Fraction,TimeToConverge,SeedsCount
0,Random,Fixed_0.2,0.01,38,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,39,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,40,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,41,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,42,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,43,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,44,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,45,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,46,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,47,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,48,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,49,0.011367641875220304,0.011367641875220304,1,113
0,Degree,Fixed_0.2,0.01,0,0.009957701797673598,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,1,0.1288332745858301,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,2,0.3142403947832217,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,3,0.5710257314064152,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,4,0.8211138526612619,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,5,0.9190165667959111,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,6,0.959287980260839,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,7,0.9820232640112795,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,8,0.9937433909058865,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,9,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,10,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,11,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,12,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,13,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,14,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,15,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,16,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,17,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,18,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,19,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,20,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,21,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,22,0.9955939372576665,0.9955939372576665,9,113
0,Degree,Fixed_0.2,0.01,23,0.9955939372576665,0.9955939372576665,9,113
